scrip_code,isin,symbol,nse_symbol,company,group,market_cap_cr,market_cap_category,market_cap_date,macro_sector,sector,industry,basic_industry,primary_index,added_date,last_updated
500002,INE117A01022,ABB,ABB,ABB India Limited,A,136986.05,Large Cap,2026-03-13,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500003,INE208C01025,AEGISLOG,AEGISLOG,Aegis Logistics Ltd.,A,21739.19,Small Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Gas,Trading - Gas,-,2026-03-13,2026-03-13
500008,INE885A01032,ARE&M,ARE&M,Amara Raja Energy & Mobility Limited,A,14306.18,Small Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,-,2026-03-13,2026-03-13
500020,INE032A01023,BOMDYEING,BOMDYEING,Bombay Dyeing & Mfg. Co. Ltd.,A,2207.86,Micro Cap,2026-03-13,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,NIFTY 500,2026-03-13,2026-03-13
500027,INE100A01010,ATUL,ATUL,Atul Limited.,A,18218.12,Small Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,NIFTY 500,2026-03-13,2026-03-13
500031,INE193E01025,BAJAJELEC,BAJAJELEC,Bajaj Electricals Ltd.,A,4315.53,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,NIFTY INDIA CONSUMPTION,2026-03-13,2026-03-13
500032,INE306A01021,BAJAJHIND,BAJAJHIND,Bajaj Hindusthan Sugar Limited,A,2094.87,Micro Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,-,2026-03-13,2026-03-13
500033,INE451A01017,FORCEMOT,FORCEMOT,Force Motors Limited,A,27245.28,Small Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,-,2026-03-13,2026-03-13
500034,INE296A01032,BAJFINANCE,BAJFINANCE,Bajaj Finance Limited,A,536004.82,Large Cap,2026-03-13,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),NIFTY FINANCIAL SERVICES,2026-03-13,2026-03-13
500038,INE119A01028,BALRAMCHIN,BALRAMCHIN,Balrampur Chini Mills Ltd.,A,10145.99,Micro Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,NIFTY FMCG,2026-03-13,2026-03-13
500039,INE213C01025,BANCOINDIA,BANCOINDIA,Banco Products (India) Ltd.,A,7937.14,Micro Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,NIFTY AUTO,2026-03-13,2026-03-13
500040,INE055A01016,ABREL,ABREL,ADITYA BIRLA REAL ESTATE LIMITED,A,13109.72,Small Cap,2026-03-13,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,-,2026-03-13,2026-03-13
500042,INE373A01013,BASF,BASF,BASF India Ltd,A,14945.45,Small Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,NIFTY 500,2026-03-13,2026-03-13
500043,INE176A01028,BATAINDIA,BATAINDIA,Bata India Limited,A,9067.62,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,NIFTY 500,2026-03-13,2026-03-13
500048,INE258A01024,BEML,BEML,BEML Ltd,A,13050.14,Small Cap,2026-03-13,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,NIFTY 500,2026-03-13,2026-03-13
500049,INE263A01024,BEL,BEL,Bharat Electronics Ltd.,A,323530.81,Large Cap,2026-03-13,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,NIFTY 500,2026-03-13,2026-03-13
500067,INE472A01039,BLUESTARCO,BLUESTARCO,Blue Star Ltd,A,38206.31,Mid Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,NIFTY INDIA CONSUMPTION,2026-03-13,2026-03-13
500084,INE486A01021,CESC,CESC,CESC Limited,A,21335.06,Small Cap,2026-03-13,Utilities,Power,Power,Integrated Power Utilities,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500085,INE085A01013,CHAMBLFERT,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,A,16987.66,Small Cap,2026-03-13,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,NIFTY 500,2026-03-13,2026-03-13
500086,INE302A01020,EXIDEIND,EXIDEIND,Exide Industries Ltd.,A,25797.5,Small Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,NIFTY 500,2026-03-13,2026-03-13
500087,INE059A01026,CIPLA,CIPLA,Cipla Ltd.,A,106223.16,Large Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,NIFTY PHARMA,2026-03-13,2026-03-13
500092,INE007A01025,CRISIL,CRISIL,CRISIL Ltd.,A,30572.73,Small Cap,2026-03-13,Financial Services,Financial Services,Finance,Other Financial Services,NIFTY 500,2026-03-13,2026-03-13
500093,INE067A01029,CGPOWER,CGPOWER,CG Power and Industrial Solutions Limited,A,113819.08,Large Cap,2026-03-13,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,NIFTY 500,2026-03-13,2026-03-13
500096,INE016A01026,DABUR,DABUR,Dabur India Ltd.,A,80977.82,Mid Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,NIFTY FMCG,2026-03-13,2026-03-13
500101,INE034A01011,ARVIND,ARVIND,Arvind Ltd.,A,8821.47,Micro Cap,2026-03-13,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,NIFTY 500,2026-03-13,2026-03-13
500103,INE257A01026,BHEL,BHEL,Bharat Heavy Electricals Ltd.,A,91369.34,Mid Cap,2026-03-13,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,NIFTY 500,2026-03-13,2026-03-13
500104,INE094A01015,HINDPETRO,HINDPETRO,Hindustan Petroleum Corporation Ltd,A,79410.34,Mid Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,NIFTY 500,2026-03-13,2026-03-13
500106,INE039A01010,IFCI,IFCI,IFCI Ltd.,A,15648.58,Small Cap,2026-03-13,Financial Services,Financial Services,Finance,Financial Institution,NIFTY FINANCIAL SERVICES,2026-03-13,2026-03-13
500109,INE103A01014,MRPL,MRPL,Mangalore Refinery & Petrochemicals,A,31897.3,Mid Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,NIFTY 500,2026-03-13,2026-03-13
500110,INE178A01016,CHENNPETRO,CHENNPETRO,Chennai Petroleum Corporation Ltd.,A,13693.89,Small Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,NIFTY 500,2026-03-13,2026-03-13
500112,INE062A01020,SBIN,SBIN,State Bank Of India,A,983614.61,Large Cap,2026-03-13,Financial Services,Financial Services,Banks,Public Sector Bank,NIFTY BANK,2026-03-13,2026-03-13
500113,INE114A01011,SAIL,SAIL,Steel Authority of India Ltd.,A,61559.02,Mid Cap,2026-03-13,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,NIFTY METAL,2026-03-13,2026-03-13
500114,INE280A01028,TITAN,TITAN,Titan Company Limited,A,364964.45,Large Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,NIFTY 500,2026-03-13,2026-03-13
500116,INE008A01015,IDBI,IDBI,IDBI Bank Ltd,A,103384.35,Large Cap,2026-03-13,Financial Services,Financial Services,Banks,Private Sector Bank,NIFTY BANK,2026-03-13,2026-03-13
500124,INE089A01031,DRREDDY,DRREDDY,Dr. Reddy's Laboratories Ltd.,A,108919.99,Large Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,NIFTY PHARMA,2026-03-13,2026-03-13
500125,INE126A01031,EIDPARRY,EIDPARRY,E.I.D. Parry (India) Ltd.,A,14228.93,Small Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,NIFTY FMCG,2026-03-13,2026-03-13
500126,INE199A01012,PGHL,PGHL,PROCTER & GAMBLE HEALTH LIMITED,A,8022.32,Micro Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,-,2026-03-13,2026-03-13
500128,INE086A01029,ELECTCAST,ELECTCAST,Electrosteel Castings Ltd.,A,4636.38,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,NIFTY METAL,2026-03-13,2026-03-13
500133,INE284A01012,ESABINDIA,ESABINDIA,Esab India Ltd.,A,8039.16,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Other Industrial Products,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500135,INE255A01020,EPL,EPL,EPL LIMITED,A,5963.01,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Packaging,-,2026-03-13,2026-03-13
500144,INE235A01022,FINCABLES,FINCABLES,Finolex Cables Ltd.,A,13275.14,Small Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Cables - Electricals,NIFTY 500,2026-03-13,2026-03-13
500163,INE260B01028,GODFRYPHLP,GODFRYPHLP,Godfrey Phillips India Ltd.,A,32087.01,Mid Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,NIFTY 500,2026-03-13,2026-03-13
500164,INE233A01035,GODREJIND,GODREJIND,Godrej Industries Ltd.,A,29413.17,Small Cap,2026-03-13,Diversified,Diversified,Diversified,Diversified,NIFTY 500,2026-03-13,2026-03-13
500165,INE531A01024,KANSAINER,KANSAINER,Kansai Nerolac Paints,A,15256.86,Small Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,NIFTY 500,2026-03-13,2026-03-13
500171,INE539A01019,GHCL,GHCL,GHCL Ltd.,A,4228.51,Micro Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,NIFTY 500,2026-03-13,2026-03-13
500180,INE040A01034,HDFCBANK,HDFCBANK,HDFC Bank Ltd.,A,1254467.6,Large Cap,2026-03-13,Financial Services,Financial Services,Banks,Private Sector Bank,NIFTY BANK,2026-03-13,2026-03-13
500182,INE158A01026,HEROMOTOCO,HEROMOTOCO,Hero MotoCorp Limited,A,105027.12,Large Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,NIFTY AUTO,2026-03-13,2026-03-13
500183,INE548A01028,HFCL,HFCL,HFCL LIMITED,A,11435.13,Small Cap,2026-03-13,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure,NIFTY 500,2026-03-13,2026-03-13
500184,INE019C01026,HSCL,HSCL,Himadri Speciality Chemical Ltd.,A,22241.72,Small Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black,NIFTY 500,2026-03-13,2026-03-13
500185,INE549A01026,HCC,HCC,Hindustan Construction Co. Ltd.,A,4088.99,Micro Cap,2026-03-13,Industrials,Construction,Construction,Civil Construction,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500187,INE415A01038,AGI,AGI,AGI GREENPAC LIMITED,A,3353.27,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Packaging,-,2026-03-13,2026-03-13
500188,INE267A01025,HINDZINC,HINDZINC,Hindustan Zinc Ltd.,A,236723.5,Large Cap,2026-03-13,Commodities,Metals & Mining,Non - Ferrous Metals,Zinc,NIFTY METAL,2026-03-13,2026-03-13
500209,INE009A01021,INFY,INFY,Infosys Ltd,A,507856.63,Large Cap,2026-03-13,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,NIFTY IT,2026-03-13,2026-03-13
500210,INE177A01018,INGERRAND,INGERRAND,Ingersoll-Rand (India) Ltd.,A,11819.06,Small Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500214,INE570A01022,IONEXCHANG,IONEXCHANG,Ion Exchange (India) Ltd,A,5084.93,Micro Cap,2026-03-13,Utilities,Utilities,Other Utilities,Water Supply & Management,-,2026-03-13,2026-03-13
500219,INE175A01038,JISLJALEQS,JISLJALEQS,Jain Irrigation Systems Ltd.,A,2408.24,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,NIFTY 500,2026-03-13,2026-03-13
500228,INE019A01038,JSWSTEEL,JSWSTEEL,JSW Steel Limited,A,278793.98,Large Cap,2026-03-13,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,NIFTY METAL,2026-03-13,2026-03-13
500233,INE217B01036,KAJARIACER,KAJARIACER,Kajaria Ceramics Ltd,A,14671.37,Small Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,NIFTY 500,2026-03-13,2026-03-13
500238,INE716A01013,WHIRLPOOL,WHIRLPOOL,Whirlpool of India Ltd,A,10570.96,Small Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,NIFTY INDIA CONSUMPTION,2026-03-13,2026-03-13
500241,INE732A01036,KIRLOSBROS,KIRLOSBROS,Kirloskar Brothers Ltd.,A,12420.35,Small Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500247,INE237A01036,KOTAKBANK,KOTAKBANK,Kotak Mahindra Bank Ltd.,A,369113.02,Large Cap,2026-03-13,Financial Services,Financial Services,Banks,Private Sector Bank,NIFTY BANK,2026-03-13,2026-03-13
500249,INE999A01023,KSB,KSB,KSB LIMITED,A,13227.85,Small Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500251,INE849A01020,TRENT,TRENT,Trent Ltd [Lakme Ltd],A,126038.08,Large Cap,2026-03-13,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,NIFTY 500,2026-03-13,2026-03-13
500252,INE269B01029,LMW,LMW,LMW Limited,A,15426.41,Small Cap,2026-03-13,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,-,2026-03-13,2026-03-13
500253,INE115A01026,LICHSGFIN,LICHSGFIN,Lic Housing Finance Ltd.,A,27184.11,Small Cap,2026-03-13,Financial Services,Financial Services,Finance,Housing Finance Company,NIFTY FINANCIAL SERVICES,2026-03-13,2026-03-13
500257,INE326A01037,LUPIN,LUPIN,Lupin Ltd,A,107085.23,Large Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,NIFTY PHARMA,2026-03-13,2026-03-13
500260,INE331A01037,RAMCOCEM,RAMCOCEM,The Ramco Cements Limited,A,22954.62,Small Cap,2026-03-13,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,NIFTY COMMODITIES,2026-03-13,2026-03-13
500265,INE271B01025,MAHSEAMLES,MAHSEAMLES,Maharashtra Seamless Ltd.,A,7388.97,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,NIFTY METAL,2026-03-13,2026-03-13
500266,INE288A01013,MAHSCOOTER,MAHSCOOTER,Maharashtra Scooters Ltd.,A,14579.88,Small Cap,2026-03-13,Financial Services,Financial Services,Finance,Investment Company,NIFTY AUTO,2026-03-13,2026-03-13
500271,INE180A01020,MFSL,MFSL,Max Financial Services Limited,A,58310.59,Mid Cap,2026-03-13,Financial Services,Financial Services,Insurance,Life Insurance,NIFTY FINANCIAL SERVICES,2026-03-13,2026-03-13
500288,INE083A01026,MOREPENLAB,MOREPENLAB,Morepen Laboratories Ltd.,A,2157.84,Micro Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,NIFTY PHARMA,2026-03-13,2026-03-13
500290,INE883A01011,MRF,MRF,M.R.F. Ltd.,A,57667.88,Mid Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,NIFTY AUTO,2026-03-13,2026-03-13
500294,INE868B01028,NCC,NCC,NCC Limited,A,9257.6,Micro Cap,2026-03-13,Industrials,Construction,Construction,Civil Construction,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500295,INE205A01025,VEDL,VEDL,Vedanta Limited,A,272690.91,Large Cap,2026-03-13,Commodities,Metals & Mining,Diversified Metals,Diversified Metals,NIFTY 500,2026-03-13,2026-03-13
500300,INE047A01021,GRASIM,GRASIM,Grasim Industries Ltd,A,179522.31,Large Cap,2026-03-13,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,NIFTY 500,2026-03-13,2026-03-13
500312,INE213A01029,ONGC,ONGC,Oil And Natural Gas Corporation Ltd,A,336585.37,Large Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production,NIFTY 500,2026-03-13,2026-03-13
500325,INE002A01018,RELIANCE,RELIANCE,Reliance Industries Ltd,A,1886020.71,Large Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,NIFTY 500,2026-03-13,2026-03-13
500330,INE301A01014,RAYMOND,RAYMOND,Raymond Limited,A,2450.58,Micro Cap,2026-03-13,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,NIFTY 500,2026-03-13,2026-03-13
500331,INE318A01026,PIDILITIND,PIDILITIND,Pidilite Industries Ltd.,A,139202.93,Large Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,NIFTY 500,2026-03-13,2026-03-13
500335,INE340A01012,BIRLACORPN,BIRLACORPN,Birla Corporation Ltd.,A,6129.63,Micro Cap,2026-03-13,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,NIFTY COMMODITIES,2026-03-13,2026-03-13
500336,INE335A01020,SURYAROSNI,SURYAROSNI,Surya Roshni Ltd.,A,4671.55,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,NIFTY METAL,2026-03-13,2026-03-13
500339,INE855B01025,RAIN,RAIN,Rain Industries Limited,A,3898.25,Micro Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,NIFTY 500,2026-03-13,2026-03-13
500355,INE613A01020,RALLIS,RALLIS,Rallis India Ltd,A,4733.37,Micro Cap,2026-03-13,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,NIFTY 500,2026-03-13,2026-03-13
500368,INE619A01035,PATANJALI,PATANJALI,Patanjali Foods Limited,A,53465.74,Mid Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,-,2026-03-13,2026-03-13
500378,INE324A01032,JINDALSAW,JINDALSAW,Jindal Saw Ltd.,A,12275.36,Small Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,NIFTY METAL,2026-03-13,2026-03-13
500380,INE786A01032,JKLAKSHMI,JKLAKSHMI,JK Lakshmi Cement Limited,A,7483.43,Micro Cap,2026-03-13,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,NIFTY COMMODITIES,2026-03-13,2026-03-13
500387,INE070A01015,SHREECEM,SHREECEM,Shree Cements Ltd.,A,83743.42,Mid Cap,2026-03-13,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,NIFTY COMMODITIES,2026-03-13,2026-03-13
500400,INE245A01021,TATAPOWER,TATAPOWER,Tata Power Co. Ltd,A,127510.02,Large Cap,2026-03-13,Utilities,Power,Power,Integrated Power Utilities,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500403,INE387A01021,SUNDRMFAST,SUNDRMFAST,Sundram Fasteners Ltd.,A,17151.73,Small Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,NIFTY AUTO,2026-03-13,2026-03-13
500405,INE663A01033,SPLPETRO,SPLPETRO,Supreme Petrochem Ltd.,A,12835.7,Small Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,-,2026-03-13,2026-03-13
500408,INE670A01012,TATAELXSI,TATAELXSI,Tata Elxsi Ltd,A,26588.22,Small Cap,2026-03-13,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,NIFTY 500,2026-03-13,2026-03-13
500410,INE012A01025,ACC,ACC,ACC Ltd,A,26498.66,Small Cap,2026-03-13,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,NIFTY COMMODITIES,2026-03-13,2026-03-13
500411,INE152A01029,THERMAX,THERMAX,Thermax Ltd.,A,37251.24,Mid Cap,2026-03-13,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500413,INE332A01027,THOMASCOOK,THOMASCOOK,Thomas Cook (India) Ltd.,A,4207.55,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Services,Leisure Services,Tour Travel Related Services,NIFTY 500,2026-03-13,2026-03-13
500420,INE685A01028,TORNTPHARM,TORNTPHARM,Torrent Pharmaceuticals Ltd.,A,149691.79,Large Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,NIFTY PHARMA,2026-03-13,2026-03-13
500425,INE079A01024,AMBUJACEM,AMBUJACEM,Ambuja Cements Ltd.,A,108327.66,Large Cap,2026-03-13,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,NIFTY COMMODITIES,2026-03-13,2026-03-13
500440,INE038A01020,HINDALCO,HINDALCO,Hindalco Industries Ltd.,A,207890.93,Large Cap,2026-03-13,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,NIFTY 500,2026-03-13,2026-03-13
500459,INE179A01014,PGHH,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,A,34490.18,Mid Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,NIFTY FMCG,2026-03-13,2026-03-13
500463,INE676A01027,BBOX,BBOX,BLACK BOX LIMITED,A,8745.75,Micro Cap,2026-03-13,Information Technology,Information Technology,IT - Services,IT Enabled Services,-,2026-03-13,2026-03-13
500469,INE171A01029,FEDERALBNK,FEDERALBNK,Federal Bank Ltd.,A,65668.59,Mid Cap,2026-03-13,Financial Services,Financial Services,Banks,Private Sector Bank,NIFTY BANK,2026-03-13,2026-03-13
500470,INE081A01020,TATASTEEL,TATASTEEL,TATA STEEL LIMITED,A,234626.31,Large Cap,2026-03-13,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,NIFTY METAL,2026-03-13,2026-03-13
500472,INE640A01023,SKFINDIA,SKFINDIA,SKF India Ltd.,A,7776.84,Micro Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500477,INE208A01029,ASHOKLEY,ASHOKLEY,Ashok Leyland Ltd.,A,101206.51,Mid Cap,2026-03-13,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles,NIFTY 500,2026-03-13,2026-03-13
500480,INE298A01020,CUMMINSIND,CUMMINSIND,Cummins India Ltd.,A,129857.11,Large Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,NIFTY 500,2026-03-13,2026-03-13
500483,INE151A01013,TATACOMM,TATACOMM,Tata Communications Limited,A,40621.05,Mid Cap,2026-03-13,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,NIFTY 500,2026-03-13,2026-03-13
500488,INE358A01014,ABBOTINDIA,ABBOTINDIA,Abbott India Ltd.,A,56151.81,Mid Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,-,2026-03-13,2026-03-13
500490,INE118A01012,BAJAJHLDNG,BAJAJHLDNG,Bajaj Holdings & Investment Limited,A,107744.36,Large Cap,2026-03-13,Financial Services,Financial Services,Finance,Holding Company,NIFTY FINANCIAL SERVICES,2026-03-13,2026-03-13
500493,INE465A01025,BHARATFORG,BHARATFORG,Bharat Forge Ltd,A,83187.42,Mid Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,NIFTY 500,2026-03-13,2026-03-13
500495,INE042A01014,ESCORTS,ESCORTS,Escorts Kubota Limited,A,35738.23,Mid Cap,2026-03-13,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Tractors,NIFTY 500,2026-03-13,2026-03-13
500510,INE018A01030,LT,LT,Larsen & Toubro Limited,A,492881.61,Large Cap,2026-03-13,Industrials,Construction,Construction,Civil Construction,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500520,INE101A01026,M&M,M&M,Mahindra & Mahindra Ltd.,A,374774.72,Large Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,NIFTY AUTO,2026-03-13,2026-03-13
500530,INE323A01026,BOSCHLTD,BOSCHLTD,Bosch Ltd,A,91135.35,Mid Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,NIFTY 500,2026-03-13,2026-03-13
500547,INE029A01011,BPCL,BPCL,Bharat Petroleum Corpn. Ltd.,A,138939.48,Large Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,NIFTY 500,2026-03-13,2026-03-13
500550,INE003A01024,SIEMENS,SIEMENS,Siemens Ltd.,A,117035.44,Large Cap,2026-03-13,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,NIFTY 500,2026-03-13,2026-03-13
500570,INE155A01022,TMPV,TMPV,TATA MOTORS PASSENGER VEHICLES LIMITED,A,116031.72,Large Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,-,2026-03-13,2026-03-13
500575,INE226A01021,VOLTAS,VOLTAS,Voltas Ltd.,A,46100.52,Mid Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,NIFTY INDIA CONSUMPTION,2026-03-13,2026-03-13
500620,INE017A01032,GESHIP,GESHIP,Great Eastern Shipping Co. Ltd.,A,21633.47,Small Cap,2026-03-13,Services,Services,Transport Services,Shipping,NIFTY 500,2026-03-13,2026-03-13
500645,INE501A01019,DEEPAKFERT,DEEPAKFERT,Deepak Fertilizers &Petrochemicals,A,12144.08,Small Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,NIFTY 500,2026-03-13,2026-03-13
500655,INE291A01017,GRWRHITECH,GRWRHITECH,GARWARE HI-TECH FILMS LIMITED,A,9200.03,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,-,2026-03-13,2026-03-13
500660,INE159A01016,GLAXO,GLAXO,GlaxoSmithkline Pharmaceuticals Ltd.,A,41498.55,Mid Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,NIFTY PHARMA,2026-03-13,2026-03-13
500670,INE113A01013,GNFC,GNFC,Gujarat Narmada Valley Fert.Co.Ltd,A,6349.31,Micro Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,NIFTY 500,2026-03-13,2026-03-13
