scrip_code,isin,symbol,nse_symbol,company,group,market_cap_cr,market_cap_category,market_cap_date,macro_sector,sector,industry,basic_industry,primary_index,added_date,last_updated
532662,INE501G01024,HTMEDIA,HTMEDIA,HT Media Ltd,B,492.32,Micro Cap,2026-03-13,Consumer Discretionary,Media Entertainment & Publication,Media,Print Media,NIFTY MEDIA,2026-03-13,2026-03-13
532663,INE231F01020,SASKEN,SASKEN,Sasken Technologies Limited,B,1635.43,Micro Cap,2026-03-13,Information Technology,Information Technology,IT - Services,IT Enabled Services,NIFTY IT,2026-03-13,2026-03-13
532666,INE512B01022,FCSSOFT,FCSSOFT,FCS Software Solutions Ltd.,B,249.59,Micro Cap,2026-03-13,Information Technology,Information Technology,IT - Services,IT Enabled Services,-,2026-03-13,2026-03-13
532673,INE157H01023,KMSUGAR,KMSUGAR,K. M. Sugar Mills Ltd.,B,239.02,Micro Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,NIFTY FMCG,2026-03-13,2026-03-13
532674,INE186H01022,BASML,BASML,Bannari Amman Spinning Mills Ltd,B,161.6,Micro Cap,2026-03-13,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,NIFTY 500,2026-03-13,2026-03-13
532684,INE184H01027,EKC,EKC,Everest Kanto Cylinders Ltd.,B,1199.5,Micro Cap,2026-03-13,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,NIFTY 500,2026-03-13,2026-03-13
532686,INE202H01019,KERNEX,KERNEX,Kernex Microsystems (India) Ltd.,B,1654.79,Micro Cap,2026-03-13,Services,Services,Transport Services,Transport Related Services,NIFTY IT,2026-03-13,2026-03-13
532687,INE461B01014,REPRO,REPRO,Repro India Ltd.,B,531.93,Micro Cap,2026-03-13,Consumer Discretionary,Media Entertainment & Publication,Printing & Publication,Printing & Publication,-,2026-03-13,2026-03-13
532694,INE855F01042,ASMS,ASMS,Bartronics India Ltd.,B,267.72,Micro Cap,2026-03-13,Information Technology,Information Technology,IT - Services,IT Enabled Services,-,2026-03-13,2026-03-13
532695,INE185H01016,CELEBRITY,CELEBRITY,Celebrity Fashions Ltd.,B,46.61,Micro Cap,2026-03-13,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,-,2026-03-13,2026-03-13
